time_alive,player,player_wins,enemy_wins,number_of_player_parts,number_of_enemy_parts,player_parts_lost,enemy_parts_lost,current_round,device_id,key,AB_test,timestamp
11,Jonsey,0,3,5,5,0,0,3,32a7e6878141def7c2fd776b6c2f193927aedc0a,MonterEnergy,0,2025-03-31T10:05:26.706920
11,Jonsey,0,3,5,5,0,0,3,32a7e6878141def7c2fd776b6c2f193927aedc0a,MonterEnergy,0,2025-03-31T10:05:26.722772
11,Jonsey,0,3,5,5,0,0,3,32a7e6878141def7c2fd776b6c2f193927aedc0a,MonterEnergy,0,2025-03-31T10:05:26.725284
11,Jonsey,0,3,5,5,0,0,3,32a7e6878141def7c2fd776b6c2f193927aedc0a,MonterEnergy,0,2025-03-31T10:05:26.731486
11,Jonsey,0,3,5,5,0,0,3,32a7e6878141def7c2fd776b6c2f193927aedc0a,MonterEnergy,0,2025-03-31T10:05:26.739658
11,Jonsey,0,3,5,5,0,0,3,32a7e6878141def7c2fd776b6c2f193927aedc0a,MonterEnergy,0,2025-03-31T10:05:26.744033
11,Jonsey,0,3,5,5,0,0,3,32a7e6878141def7c2fd776b6c2f193927aedc0a,MonterEnergy,0,2025-03-31T10:05:26.765912
11,Jonsey,0,3,5,5,0,0,3,32a7e6878141def7c2fd776b6c2f193927aedc0a,MonterEnergy,0,2025-03-31T10:05:26.771951
11,Jonsey,0,3,5,5,0,0,3,32a7e6878141def7c2fd776b6c2f193927aedc0a,MonterEnergy,0,2025-03-31T10:05:26.778410
11,Jonsey,0,3,5,5,0,0,3,32a7e6878141def7c2fd776b6c2f193927aedc0a,MonterEnergy,0,2025-03-31T10:05:26.789777
11,Jonsey,0,3,5,5,0,0,3,32a7e6878141def7c2fd776b6c2f193927aedc0a,MonterEnergy,0,2025-03-31T10:05:26.796374
11,Jonsey,0,3,5,5,0,0,3,32a7e6878141def7c2fd776b6c2f193927aedc0a,MonterEnergy,0,2025-03-31T10:05:26.802177
11,Jonsey,0,3,5,5,0,0,3,32a7e6878141def7c2fd776b6c2f193927aedc0a,MonterEnergy,0,2025-03-31T10:05:26.807907
11,Jonsey,0,3,5,5,0,0,3,32a7e6878141def7c2fd776b6c2f193927aedc0a,MonterEnergy,0,2025-03-31T10:05:26.815208
11,Jonsey,0,3,5,5,0,0,3,32a7e6878141def7c2fd776b6c2f193927aedc0a,MonterEnergy,0,2025-03-31T10:05:26.822647
11,Jonsey,0,3,5,5,0,0,3,32a7e6878141def7c2fd776b6c2f193927aedc0a,MonterEnergy,0,2025-03-31T10:05:26.830552
11,Jonsey,0,3,5,5,0,0,3,32a7e6878141def7c2fd776b6c2f193927aedc0a,MonterEnergy,0,2025-03-31T10:05:26.843221
11,Jonsey,0,3,5,5,0,0,3,32a7e6878141def7c2fd776b6c2f193927aedc0a,MonterEnergy,0,2025-03-31T10:05:26.849329
11,Jonsey,0,3,5,5,0,0,3,32a7e6878141def7c2fd776b6c2f193927aedc0a,MonterEnergy,0,2025-03-31T10:05:26.852987
11,Jonsey,0,3,5,5,0,0,3,32a7e6878141def7c2fd776b6c2f193927aedc0a,MonterEnergy,0,2025-03-31T10:05:26.857432
11,Jonsey,0,3,5,5,0,0,3,32a7e6878141def7c2fd776b6c2f193927aedc0a,MonterEnergy,0,2025-03-31T10:05:26.861898
11,Jonsey,0,3,5,5,0,0,3,32a7e6878141def7c2fd776b6c2f193927aedc0a,MonterEnergy,0,2025-03-31T10:05:26.863624
11,Jonsey,0,3,5,5,0,0,3,32a7e6878141def7c2fd776b6c2f193927aedc0a,MonterEnergy,0,2025-03-31T10:05:26.874850
